domain,Year,avg_novelty,patent_count
AI/ML,2016,12.34402205523806,21854
AI/ML,2017,12.51757092281601,33528
AI/ML,2018,12.548605690000935,52099
AI/ML,2019,12.510704218671696,64576
AI/ML,2020,12.532848049783986,65173
Biotech/Medical,2016,12.214843726446233,16224
Biotech/Medical,2017,12.139230340444733,17417
Biotech/Medical,2018,12.132134848115403,17993
Biotech/Medical,2019,12.167691026143485,19007
Biotech/Medical,2020,12.249972544363263,16935
Business/Fintech,2016,12.531750892781158,8444
Business/Fintech,2017,12.48742278182787,11426
Business/Fintech,2018,12.493198340683708,14998
Business/Fintech,2019,12.445807874897863,13441
Business/Fintech,2020,12.42177422467882,11007
Computing/Software,2016,12.201731836381072,47757
Computing/Software,2017,12.243360872556348,53879
Computing/Software,2018,12.292459829753643,54073
Computing/Software,2019,12.268852029739493,63342
Computing/Software,2020,12.392487050585,66351
Energy/Power,2016,12.774574241540037,663
Energy/Power,2017,12.811318754948273,810
Energy/Power,2018,12.659272700208767,1120
Energy/Power,2019,12.71189139401881,1012
Energy/Power,2020,12.737258903345666,935
Imaging/Graphics,2016,12.29918189557697,15681
Imaging/Graphics,2017,12.397544559314298,15469
Imaging/Graphics,2018,12.454108552271528,17355
Imaging/Graphics,2019,12.409044934765852,18164
Imaging/Graphics,2020,12.332663076513446,14491
Measuring/Sensors,2016,12.51132565759577,4593
Measuring/Sensors,2017,12.47707288022907,5814
Measuring/Sensors,2018,12.509778393467599,7405
Measuring/Sensors,2019,12.552861282246754,9094
Measuring/Sensors,2020,12.539310569699872,8506
Mechanical/Transportation,2016,12.533361895959189,7191
Mechanical/Transportation,2017,12.504429164523831,8793
Mechanical/Transportation,2018,12.442091707272164,9664
Mechanical/Transportation,2019,12.385678435716134,9860
Mechanical/Transportation,2020,12.3580239002174,7551
Other,2016,12.469504825452011,39898
Other,2017,12.48002398334782,50664
Other,2018,12.495472264010715,59679
Other,2019,12.47166838163833,64894
Other,2020,12.516531623700912,60279
Semiconductors/Electronics,2016,12.36246896464438,455
Semiconductors/Electronics,2017,12.198616440087788,621
Semiconductors/Electronics,2018,12.205700167508574,644
Semiconductors/Electronics,2019,11.755915475625649,582
Semiconductors/Electronics,2020,12.048218508776593,500
Telecom/Networking,2016,12.251240536205323,10266
Telecom/Networking,2017,12.236665701166588,10747
Telecom/Networking,2018,12.185023642852808,10865
Telecom/Networking,2019,12.202320264653443,10924
Telecom/Networking,2020,12.06017029423943,8960
