domain,slope,total_patents
Computing/Software,0.04070015855910192,285402
AI/ML,0.037078528494754244,237230
Measuring/Sensors,0.013175822622590842,35412
Biotech/Medical,0.00987183215328394,87576
Other,0.008569799478830162,275414
Imaging/Graphics,0.007846273732448932,81160
Energy/Power,-0.01740580373182171,4540
Business/Fintech,-0.026156824313470155,59316
Telecom/Networking,-0.04164859204449492,51762
Mechanical/Transportation,-0.04694267202913024,43059
Semiconductors/Electronics,-0.10712018761977525,2802
